dead,gis_code,name
,110101,Akabahizi
,110102,Akabeza
,110103,Gacyamo
,110104,Kigarama
,110105,Kinyange
,110106,Kora
,110201,Nyamweru
,110202,Nzove
,110203,Taba
,110301,Kigali
,110302,Mwendo
,110303,Nyabugogo
,110304,Ruriba
,110305,Rwesero
,110401,Kamuhoza
,110402,Katabaro
,110403,Kimisagara
,110501,Kankuba
,110502,Kavumu
,110503,Mwendo
,110504,Ntungamo
,110505,Nyarufunzo
,110506,Nyarurenzi
,110507,Runzenze
,110601,Amahoro
,110602,Kabasengerezi
,110603,Kabeza
,110604,Nyabugogo
,110605,Rugenge
,110606,Tetero
,110607,Ubumwe
,110701,Munanira I
,110702,Munanira Ii
,110703,Nyakabanda I
,110704,Nyakabanda Ii
,110801,Cyivugiza
,110802,Gasharu
,110803,Mumena
,110804,Rugarama
,110901,Agatare
,110902,Biryogo
,110903,Kiyovu
,110904,Rwampara
,111001,Kabuguru I
,111002,Kabuguru Ii
,111003,Rwezamenyo I
,111004,Rwezamenyo Ii
,120101,Kinyaga
,120102,Musave
,120103,Mvuzo
,120104,Ngara
,120105,Nkuzuzu
,120106,Nyabikenke
,120107,Nyagasozi
,120201,Karuruma
,120202,Nyamabuye
,120203,Nyamugari
,120301,Gasagara
,120302,Gicaca
,120303,Kibara
,120304,Munini
,120305,Murambi
,120401,Musezero
,120402,Ruhango
,120501,Akamatamu
,120502,Bweramvura
,120503,Kabuye
,120504,Kidashya
,120505,Ngiryi
,120601,Agateko
,120602,Buhiza
,120603,Muko
,120604,Nkusi
,120605,Nyabuliba
,120606,Nyakabungo
,120607,Nyamitanga
,120701,Kamatamu
,120702,Kamutwa
,120703,Kibaza
,120801,Kamukina
,120802,Kimihurura
,120803,Rugando
,120901,Bibare
,120902,Kibagabaga
,120903,Nyagatovu
,121001,Gacuriro
,121002,Gasharu
,121003,Kagugu
,121004,Murama
,121101,Bwiza
,121408,Ruhanga
,121501,Gasabo
,121502,Indatemwa
,130501,Busanza
,130504,Rubirizi
,210302,Karama
,210303,Nyabinyenga
,210304,Nyarurama
,210501,Butansinda
,210502,Butara
,230104,Runyombyi
,230105,Shororo
,230805,Nyanza
,230806,Yaramba
,230901,Fugi
,121102,Cyaruzinge
,121103,Kibenga
,121104,Masoro
,121105,Mukuyu
,121106,Rudashya
,121201,Butare
,121202,Gasanze
,121203,Gasura
,121204,Gatunga
,121205,Muremure
,121206,Sha
,121207,Shango
,121301,Nyabisindu
,121302,Nyarutarama
,121303,Rukiri I
,121304,Rukiri Ii
,121401,Bisenga
,121402,Gasagara
,121403,Kabuga I
,121404,Kabuga Ii
,121405,Kinyana
,121406,Mbandazi
,121407,Nyagahinga
,121503,Kabaliza
,121504,Kacyatwa
,121505,Kibenga
,121506,Kigabiro
,130101,Gahanga
,130102,Kagasa
,130103,Karembure
,130104,Murinja
,130105,Nunga
,130106,Rwabutenge
,130201,Gatenga
,130202,Karambo
,130203,Nyanza
,130204,Nyarurama
,130301,Kagunga
,130302,Kanserege
,130303,Kinunga
,130401,Kanserege
,130402,Muyange
,130403,Rukatsa
,130502,Kabeza
,130503,Karama
,130601,Gasharu
,130602,Kagina
,130603,Kicukiro
,130604,Ngoma
,130701,Bwerankori
,130702,Karugira
,130703,Kigarama
,130704,Nyarurama
,130705,Rwampara
,130801,Ayabaraya
,130802,Cyimo
,130803,Gako
,130804,Gitaraga
,130805,Mbabe
,130806,Rusheshe
,130901,Gatare
,130902,Niboye
,130903,Nyakabanda
,131001,Kamashashi
,131002,Nonko
,131003,Rwimbogo
,210101,Gahondo
,210102,Kavumu
,210103,Kibinja
,210104,Nyanza
,210105,Rwesero
,210201,Gitovu
,210202,Kimirama
,210203,Masangano
,210204,Munyinya
,210205,Rukingiro
,210206,Shyira
,210301,Kadaho
,210305,Rubona
,210401,Cyeru
,210402,Mbuye
,210403,Mututu
,210404,Rwotso
,210503,Gahombo
,210504,Gasoro
,210505,Mulinja
,210601,Cyerezo
,210602,Gatagara
,210603,Kiruli
,210604,Mpanga
,210605,Ngwa
,210606,Nkomero
,210701,Gati
,210702,Migina
,210703,Nyamiyaga
,210704,Nyamure
,210705,Nyundo
,210801,Bugali
,210802,Cyotamakara
,210803,Kagunga
,210804,Katarara
,210901,Gahunga
,210902,Kabirizi
,210903,Kabuga
,210904,Kirambi
,210905,Rurangazi
,211001,Gacu
,211002,Gishike
,211003,Mubuga
,211004,Mushirarungu
,211005,Nyarusange
,211006,Runga
,220101,Cyiri
,220102,Gasagara
,220103,Gikonko
,220104,Mbogo
,220201,Gabiro
,220202,Nyabitare
,220203,Nyakibungo
,220204,Nyeranzi
,220301,Akaboti
,220302,Bwiza
,220303,Sabusaro
,220304,Umunini
,220401,Duwani
,220402,Kibirizi
,220403,Muyira
,220404,Ruturo
,220501,Agahabwa
,220502,Gatovu
,220503,Impinga
,220504,Nyabikenke
,220505,Rubona
,220506,Rusagara
,220601,Gakoma
