dead,gis_code,name
,1101,Gitega
,1102,Kanyinya
,1103,Kigali
,1104,Kimisagara
,1105,Mageregere
,1106,Muhima
,1107,Nyakabanda
,1108,Nyamirambo
,1109,Nyarugenge
,1110,Rwezamenyo
,1201,Bumbogo
,1202,Gatsata
,1203,Gikomero
,1204,Gisozi
,1205,Jabana
,1206,Jali
,1207,Kacyiru
,1208,Kimihurura
,1209,Kimironko
,1210,Kinyinya
,1211,Ndera
,1214,Rusororo
,1215,Rutunga
,1305,Kanombe
,2103,Cyabakamyi
,2105,Kigoma
,2301,Busanze
,2308,Ngera
,2309,Ngoma
,1212,Nduba
,1213,Remera
,1301,Gahanga
,1302,Gatenga
,1303,Gikondo
,1304,Kagarama
,1306,Kicukiro
,1307,Kigarama
,1308,Masaka
,1309,Niboye
,1310,Nyarugunga
,2101,Busasamana
,2102,Busoro
,2104,Kibilizi
,2106,Mukingo
,2107,Muyira
,2108,Ntyazo
,2109,Nyagisozi
,2110,Rwabicuma
,2201,Gikonko
,2202,Gishubi
,2203,Kansi
,2204,Kibirizi
,2205,Kigembe
,2206,Mamba
,2207,Muganza
,2208,Mugombwa
,2209,Mukindo
,2210,Musha
,2211,Ndora
,2212,Nyanza
,2213,Save
,2302,Cyahinda
,2303,Kibeho
,2304,Kivu
,2305,Mata
,2306,Muganza
,2307,Munini
,2310,Nyabimata
,2311,Nyagisozi
,2312,Ruheru
,2313,Ruramba
,2314,Rusenge
,2401,Gishamvu
,2402,Huye
,2403,Karama
,2404,Kigoma
,2405,Kinazi
,2406,Maraba
,2407,Mbazi
,2408,Mukura
,2409,Ngoma
,2410,Ruhashya
,2411,Rusatira
,2412,Rwaniro
,2413,Simbi
,2414,Tumba
,2512,Musange
,2515,Nkomane
,2516,Tare
,2601,Bweramana
,2602,Byimana
,2608,Ntongwe
,2811,Rukoma
,3101,Bwishyura
,2501,Buruhukiro
,2502,Cyanika
,2503,Gasaka
,2504,Gatare
,2505,Kaduha
,2506,Kamegeri
,2507,Kibirizi
,2508,Kibumbwe
,2509,Kitabi
,2510,Mbazi
,2511,Mugano
,2513,Musebeya
,2514,Mushubi
,2517,Uwinkingi
,2603,Kabagali
,2604,Kinazi
,2605,Kinihira
,2606,Mbuye
,2607,Mwendo
,2609,Ruhango
,2701,Cyeza
,2702,Kabacuzi
,2703,Kibangu
,2704,Kiyumba
,2705,Muhanga
,2706,Mushishiro
,2707,Nyabinoni
,2708,Nyamabuye
,2709,Nyarusange
,2710,Rongi
,2711,Rugendabari
,2712,Shyogwe
,2801,Gacurabwenge
,2802,Karama
,2803,Kayenzi
,2804,Kayumbu
,2805,Mugina
,2806,Musambira
,2807,Ngamba
,2808,Nyamiyaga
,2809,Nyarubaka
,2810,Rugarika
,2812,Runda
,3102,Gashari
,3103,Gishyita
,3104,Gitesi
,3105,Mubuga
,3106,Murambi
,3107,Murundi
,3201,Boneza
,3202,Gihango
,3205,Manihira
,3206,Mukura
,3207,Murunda
,3208,Musasa
,3212,Ruhango
,3213,Rusebeya
,3303,Cyanzarwe
,3504,KABAYA
,3505,KAGEYO
,3108,Mutuntu
,3109,Rubengera
,3110,Rugabano
,3111,Ruganda
,3112,Rwankuba
,3113,Twumba
,3203,Kigeyo
,3204,Kivumu
,3209,Mushonyi
,3210,Mushubati
,3211,Nyabirasi
,3301,Bugeshi
,3302,Busasamana
,3304,Gisenyi
,3305,Kanama
,3306,Kanzenze
,3307,Mudende
,3308,Nyakiriba
,3309,Nyamyumba
,3310,Nyundo
,3311,Rubavu
,3312,Rugerero
,3401,Bigogwe
,3402,Jenda
,3403,Jomba
,3404,Kabatwa
,3405,Karago
,3406,Kintobo
,3407,Mukamira
,3408,Muringa
,3409,Rambura
,3410,Rugera
,3411,Rurembo
,3412,Shyira
,3501,BWIRA
,3502,GATUMBA
,3503,HINDIRO
,3506,KAVUMU
,3609,Kamembe
,3610,Muganza
,3611,Mururu
,3612,Nkanka
