dead,gis_code,name
,11010102,Gihanga
,11010103,Iterambere
,11010104,Izuba
,11010105,Nyaburanga
,11010106,Nyenyeri
,11010107,Ubukorikori
,11010108,Ubumwe
,11010109,Ubwiyunge
,11010110,Umucyo
,11010111,Umurabyo
,11010112,Umuseke
,11010113,Vugizo
,11010201,Akinyambo
,11010202,Amayaga
,11010203,Gitwa
,11010204,Ituze
,11010205,Mpazi
,11010301,Amahoro
,11010302,Impuhwe
,11010303,Intsinzi
,11010304,Kivumu
,11010305,Ubumwe
,11010306,Urukundo
,11010307,Ururembo
,11010401,Ingenzi
,11010402,Sangwa
,11010403,Umubano
,11010404,Umucyo
,11010405,Umuhoza
,11010406,Umurava
,11010501,Akabugenewe
,11010502,Ihuriro
,11010503,Isangano
,11010504,Isano
,11010505,Karitasi
,11010506,Ubumanzi
,11010507,Uburezi
,11010508,Ubwiza
,11010509,Umucyo
,11010510,Umwembe
,11010511,Urugano
,11010601,Isangano
,11010602,Kanunga
,11010603,Kinyambo
,11010604,Kivumu
,11010605,Kora
,11010606,Mpazi
,11010607,Rugano
,11010608,Rugari
,11010609,Ubumwe
,11020101,Bwimo
,11020102,Gatare
,11020103,Mubuga
,11020104,Nyakirambi
,11020105,Nyamweru
,11020106,Ruhengeri
,11020201,Bibungo
,11020202,Bwiza
,11020203,Gateko
,11020204,Kagasa
,11020205,Nyabihu
,11020206,Rutagara I
,11020207,Rutagara Ii
,11020208,Ruyenzi
,11020301,Kagaramira
,11020302,Ngendo
,11020303,Nyarurama
,11020304,Nyarusange
,11020305,Rwakivumu
,11020306,Taba
,11030101,Akirwanda
,11030102,Gisenga
,11030103,Kadobogo
,11030104,Kagarama
,11030105,Kibisogi
,11030106,Muganza
,11030107,Murama
,11030108,Rubuye
,11030109,Ruhango
,11030110,Ryasharangabo
,11030201,Agakomeye
,11030202,Akagugu
,11030203,Amahoro
,11030204,Amajyambere
,11030205,Birambo
,11030206,Isangano
,11030207,Kanyabami
,11030208,Karambo
,11030209,Mwendo
,11030210,Ruhuha
,11030211,Ubuzima
,11030212,Umutekano
,11030301,Gakoni
,11030302,Gatare
,11030303,Giticyinyoni
,11030304,Kadobogo
,11030305,Kamenge
,11030306,Karama
,11030307,Kiruhura
,11030308,Nyabikoni
,11030309,Nyabugogo
,11030310,Ruhondo
,11030401,Misibya
,11030402,Nyabitare
,11030403,Ruhango
,11030404,Ruharabuge
,11030405,Ruriba
,11030406,Ruzigimbogo
,11030407,Ryamakomari
,11030408,Tubungo
,11030501,Akanyamirambo
,11030502,Akinama
,11030503,Makaga
,11030504,Musimba
,11030505,Ruhogo
,11030506,Rwesero
,11030507,Rweza
,11030508,Vuganyana
,11040101,Buhoro
,11040102,Busasamana
,11040103,Isimbi
,11040104,Ituze
,11040105,Karama
,11040106,Karwarugabo
,11040107,Kigabiro
,11040108,Mataba
,11040109,Munini
,11040110,Ntaraga
,11040111,Nunga
,11040112,Rurama
,11040113,Rutunga
,11040114,Tetero
,11040201,Akamahoro
,11040202,Akishinge
,11040203,Akishuri
,11040204,Amahumbezi
,11040205,Inganzo
,11040206,Kigarama
,11040207,Mpazi
,11040208,Mugina
,11040209,Ubumwe
,11040210,Ubusabane
,11040211,Umubano
,11040212,Umurinzi
,11040213,Uruyange
,11040301,Akabeza
,11040302,Amahoro
,11040303,Birama
,11040304,Buhoro
,11040305,Bwiza
,11040306,Byimana
,11040307,Gakaraza
,11040308,Gaseke
,11040309,Ihuriro
,11040310,Inkurunziza
,11040311,Karambi
,11040312,Kigina
,11040313,Kimisagara
,11040314,Kove
,11040315,Muganza
,11040316,Nyabugogo
,11040317,Nyagakoki
,11040318,Nyakabingo
,11040319,Nyamabuye
,11040320,Sangwa
,11040321,Sano
,11050101,Kamatamu
,11050102,Kankuba
,11050103,Karukina
,11050104,Musave
,11050105,Nyarumanga
,11050106,Rugendabari
,11050201,Ayabatanga
,11050202,Kankurimba
,11050203,Kavumu
,11050204,Mubura
,11050205,Murondo
,11050206,Nyakabingo
,11050207,Nyarubuye
,11050301,Burema
,11050302,Gahombo
,11050303,Kabeza
,11050304,Karambi
,11050305,Kwisanga
,11050306,Mageragere
,11050307,Mataba
,11050308,Rushubi
,11050401,Akanakamageragere
,11050402,Gatovu
,11050403,Nyabitare
,11050404,Nyarubande
,11050405,Rubungo
,11050406,Rwindonyi
,11050501,Akabungo
,11050502,Akamashinge
,11050503,Maya
,11050504,Nyarufunzo
,11050505,Nyarurama
,11050506,Rubete
,11050601,Amahoro
,11050602,Ayabaramba
,11050603,Gikuyu
,11050604,Iterambere
,11050605,Nyabirondo
,11050606,Nyarurenzi
,11050701,Gisunzu
,11050702,Mpanga
,11050703,Nkomero
,11050704,Runzenze
,11050705,Uwurugenge
,11060101,Amahoro
,11060102,Amizero
,11060103,Inyarurembo
,11060104,Kabirizi
,11060105,Ubuzima
,11060106,Uruhimbi
,11060201,Icyeza
,11060202,Ikana
,11060203,Intwari
,11060204,Kabasengerezi
,11060301,Hirwa
,11060302,Ikaze
,11060303,Imanzi
,11060304,Ingenzi
,11060305,Ituze
,11060306,Sangwa
,11060307,Umwezi
,11060401,Abeza
,11060402,Icyerekezo
,11060403,Indatwa
,11060404,Rwezangoro
,11060405,Ubucuruzi
,11060406,Umutekano
,11060501,Imihigo
,11060502,Impala
,11060503,Rugenge
,11060504,Ubumanzi
,11060601,Indamutsa
,11060602,Ingoro
,11060603,Inkingi
,11060604,Intiganda
,11060605,Iwacu
,11060606,Tetero
,11060703,Isangano
,11070101,Kabusunzu
,11070102,Munanira
,11070103,Ntaraga
,11070104,Nyagasozi
,11070105,Rurembo
,11070201,Gasiza
,11070202,Kamwiza
,11070203,Kanyange
,11070204,Karudandi
,11070205,Kigabiro
,11070206,Kokobe
,11070207,Mucyuranyana
,11070208,Nkundumurimbo
,11070301,Akinkware
,11070302,Gapfupfu
,11070303,Gasiza
,11070304,Kariyeri
,11070305,Kokobe
,11070306,Munini
,11070307,Nyakabanda
,11070308,Rwagitanga
,11070401,Ibuhoro
,11070402,Kabeza
,11070403,Kanyiranganji
,11070404,Karujongi
,11070405,Kigarama
,11070406,Kirwa
,11080101,Amizero
,11080102,Gabiro
,11080103,Imanzi
,11080104,Ingenzi
,11080105,Intwari
,11080106,Karisimbi
,11080107,Mahoro
,11080108,Mpano
,11080109,Muhabura
,11080110,Muhoza
,11080111,Munini
,11080112,Rugero
,11080113,Shema
,11080201,Kagunga
,11080202,Karukoro
,11080203,Rwintare
,11080301,Akanyana
,11080302,Akanyirazaninka
,11080303,Akarekare
,11080304,Akatabaro
,11080305,Irembo
,11080306,Itaba
,11080307,Kiberinka
,11080308,Mumena
,11080309,Rwampara
,11080401,Gatare
,11080402,Kiberinka
,11080403,Munanira
,11080404,Riba
,11080405,Rubona
,11080406,Rugarama
,11080407,Runyinya
,11080408,Rusisiro
,11080409,Tetero
,11090101,Agatare
,11090102,Amajyambere
,11090103,Inyambo
,11090104,Meraneza
,11090105,Uburezi
,11090106,Umucyo
,11090107,Umurava
,11090201,Biryogo
,11090202,Gabiro
,11090203,Isoko
,11090204,Nyiranuma
,11090205,Umurimo
,11090301,Amizero
,11090302,Cercle Sportif
,11090303,Ganza
,11090304,Imena
,11090305,Indangamirwa
,11090306,Ingenzi
,11090307,Inyarurembo
,11090308,Ishema
,11090309,Isibo
,11090310,Muhabura
,11090311,Rugunga
,11090312,Sugira
,11090401,Amahoro
,11090402,Gacaca
,11090403,Intwari
,11090404,Rwampara
,11090405,Umucyo
,11090406,Umuganda
,11100101,Muhoza
,11100102,Muhuza
,11100103,Mumararungu
,11100104,Murambi
,11100201,Buhoro
,11100202,Gasabo
,11100203,Mutara
,11100204,Ubusabane
,11100301,Abatarushwa
,11100302,Indatwa
,11100303,Inkerakubanza
,11100304,Intwari
,11100401,Amahoro
,11100402,Umucyo
,11100403,Urumuri
,12010101,Akakaza
,12010104,Muhozi
,12010105,Rubungo
,12010106,Ryakigogo
,12010107,Zindiro
,12010201,Kagarama
,12010202,Kayumba
,12010203,Ramba
,12010204,Rebero
,12010205,Rugando
,12010301,Kigabiro
,12010302,Kiyoro
,12010303,Murarambo
,12010304,Nkona
,12010305,Nyakabingo
,12010306,Rukoma
,12010401,Birembo
,12010402,Gisasa
,12010403,Munini
,12010404,Ruhinga
,12010405,Uwaruraza
,12010501,Akabenejuru
,12010502,Akasedogo
,12010503,Akimpama
,12010504,Burima
,12010505,Kityazo
,12010601,Bushya
,12010602,Gikumba
,12010603,Kamutamu
,12010604,Karama
,12010605,Kayenzi
,12010606,Kigara
,12010607,Kiriza
,12010608,Masizi
,12010609,Mbogo
,12010610,Nyampamo
,12010701,Akanyiramugarura
,12010702,Akigabiro
,12010703,Gishaka
,12010704,Kabuye
,12010705,Mpabwa
,12010706,Nyagasambu
,12010707,Urutarishonga
,12020101,Akamamana
,12020102,Akimihigo
,12020103,Bigega
,12020104,Busasamana
,12020105,Kingasire
,12020106,Kumuyange
,12020107,Muremera
,12020108,Nyagasozi
,12020109,Rugoro
,12020110,Rwesero
,12020111,Tetero
,12020201,Agakomeye
,12020202,Gashubi
,12020203,Gisiza
,12020204,Hanika
,12020205,Juru
,12020206,Kibaya
,12020207,Mpakabavu
,12020208,Musango
,12020209,Ndengo
,12020210,Nyakabande
,12020211,Nyakanunga
,12020212,Rubonobono
,12020213,Runyonza
,12020214,Rusoro
,12020215,Ruvumero
,12020216,Uwagatovu
,12020301,Agataramo
,12020302,Akamwunguzi
,12020303,Akarubimbura
,12020304,Akisoko
,12020305,Amarembo
,12020306,Amizero
,12020307,Bwiza
,12020308,Ihuriro
,12020309,Isangano
,12020310,Kanyonyomba
,12020311,Nyakariba
,12020312,Rwakarihejuru
,12030101,Bwimiyange
,12030102,Bwingeyo
,12030103,Gasagara
,12030104,Rugwiza
,12030201,Ntaganzwa
,12030202,Nyagasozi
,12030203,Nyagisozi
,12030204,Ruganda
,12030301,Gahinga
,12030302,Gasharu
,12030303,Kibobo
,12030304,Nombe
,12030401,Munini
,12030402,Mutokerezwa
,12030403,Rudakabukirwa
,12030404,Runyinya
,12030501,Kimisebeya
,12030502,Kivugiza
,12030503,Rugarama
,12030504,Twina
,12040101,Amajyambere
,12040102,Amarembo
,12040103,Byimana
,12040104,Gasave
,12040105,Gasharu
,12040106,Kagara
,12040107,Nyakariba
,12040108,Rwinyana
,12040201,Kanyinya
,12040202,Kumukenke
,12040203,Murambi
,12040204,Ntora
,12040205,Rukeri
,12040206,Umurava
,12050101,Akamatamu
,12050102,Cyeyere
,12050103,Murehe
,12050104,Nyacyonga
,12050105,Nyagasozi
,12050106,Nyarukurazo
,12050201,Agakenke
,12050202,Agatare
,12050203,Akinyana
,12050204,Gikingo
,12050205,Gitega
,12050206,Gitenga
,12050207,Nyakabingo
,12050208,Nyarurama
,12050209,Rugogwe
,12050210,Taba
,12050301,Amakawa
,12050302,Amasangano
,12050303,Buliza
,12050304,Ihuriro
,12050305,Kabeza
,12050306,Karuruma
,12050307,Murama
,12050308,Nyagasozi
,12050309,Rebero
,12050310,Rugarama
,12050311,Tetero
,12050401,Agasekabuye
,12050402,Agatare
,12050403,Amasangano
,12050404,Mubuga
,12050405,Nyamweru
,12050501,Agahama
,12050502,Agasharu
,12050503,Akabuga
,12050504,Jurwe
,12050505,Kiberinka
,12050506,Nyakirehe
,12050507,Nyarubuye
,12050508,Rubona
,12050509,Rwanyanza
,12050510,Uwanyange
,12060101,Bugarama
,12060102,Bukamba
,12060103,Byimana
,12060104,Kabizoza
,12060105,Kinunga
,12060106,Urunyinya
,12060107,Rwankuba
,12060201,Kabande
,12060202,Gatare
,12060203,Nyamugali
,12060204,Nyarubuye
,12060301,Gahinga
,12060302,Gatare
,12060303,Umunyinya
,12060401,Agatwa
,12060402,Kabagina
,12060403,Kajevuba
,12060404,Kigarama
,12060405,Nyagasayo
,12060501,Nyaburira
,12060502,Kirehe
,12060503,Mataba
,12060504,Nyarurembo
,12060505,Rubona
,12060601,Bwocya
,12060602,Gitaba
,12060603,Karenge
,12060604,Rugina
,12060605,Ruhihi
,12060701,Agasharu
,12060702,Agatare
,12060703,Kabuga
,12060704,Runyinya
,12070101,Amajyambere
,12070102,Bukinanyana
,12070103,Cyimana
,12070104,Gataba
,12070105,Itetero
,12070106,Kabare
,12070107,Kamuhire
,12070108,Karukamba
,12070109,Nyagacyamo
,12070110,Rwinzovu
,12070111,Urugwiro
,12070112,Uruhongore
,12070201,Agasaro
